Topic,Probability_1,Probability_2,Probability_3,Probability_4,Probability_5,Probability_6,Probability_7,Probability_8,Probability_9,Probability_10,Probability_11,Probability_12
1,0.594844247282612,0.260004812465058,0.600787973425144,0.349390631135377,0.29082518631922,0.220901590330376,0.285130052058867,0.49387233663952,0.396985731403309,,,
2,0.524650119160747,0.434663076763104,0.456240023840033,0.313965110181708,0.245274882516439,0.550982931170559,0.216340131097118,0.226782268383839,0.28698039874942,,,
3,0.553501032865335,0.327582716782825,0.320743396732851,0.376929155071514,0.350048235830199,0.371611186301752,0.239557406966063,,,,,
4,0.368847644763866,0.293036017774925,,,,,,,,,,
5,0.516366885617545,0.381039871785625,0.306805091754614,0.296958209664937,,,,,,,,
6,0.269513548545681,0.253112474467225,,,,,,,,,,
7,0.475563556089792,0.63077154983802,0.268739721512266,0.44111264262869,,,,,,,,
8,0.281601579764959,0.194237806060566,0.45459563640251,0.227709678362871,0.326528569162903,0.36168306808284,0.301711667544493,0.573941591204566,0.31751342144005,0.326130363132265,0.629268922177019,0.64204357580086
9,0.279377996215906,0.289729902816478,0.536558537318631,0.306208656737764,0.445343436733193,0.257842427262414,0.296451086575342,0.293274967609435,0.265526881119091,,,
10,0.344542337614178,0.41409396020975,,,,,,,,,,
11,0.639685790192766,,,,,,,,,,,
12,0.526992118153019,,,,,,,,,,,
13,0.542794921639381,0.678295268318017,,,,,,,,,,
14,0.747969867443551,0.52089487942377,0.306260151008373,,,,,,,,,
15,0.625749884375268,,,,,,,,,,,
