Topic,Probability_1,Probability_2,Probability_3,Probability_4,Probability_5,Probability_6,Probability_7,Probability_8,Probability_9,Probability_10,Probability_11,Probability_12,Probability_13
1,0.445364931726076,0.539233167354773,0.321906847343822,0.301339776724568,0.144753030259426,,,,,,,,
2,0.373779676963293,0.229199674304675,0.322501743351629,0.355183917594861,0.272138237023833,0.620539556591609,,,,,,,
3,0.416725726455697,0.20762613875324,0.190369405777931,0.423494581752545,0.322681579539746,,,,,,,,
4,0.243202778270737,0.3401757846642,0.430408508006723,0.372355160284745,0.18149563082729,0.278612090723875,0.369760257762348,0.203179360153894,,,,,
5,0.446962514888046,0.25266182877017,0.135696633280654,,,,,,,,,,
6,0.438785512752898,0.346740307727525,,,,,,,,,,,
7,0.274767237653386,0.484822134739384,,,,,,,,,,,
8,0.520503438847417,0.290978024763286,0.274074131377395,,,,,,,,,,
9,0.363296160643498,0.275196975657558,,,,,,,,,,,
10,0.271196925691585,0.273459471859179,0.530173650249793,0.30025518570626,,,,,,,,,
11,0.256171427913572,0.180520713785245,0.383641934188999,0.204619374945608,0.224739544925876,0.333465032392946,0.398337751544341,0.58813180608206,0.379516591455299,0.308183014354446,0.657359058426073,0.312403828124533,0.664395566928749
12,0.192802924923981,,,,,,,,,,,,
13,0.420134541369346,0.316827796824623,,,,,,,,,,,
14,0.684944675905031,0.515821837893095,,,,,,,,,,,
15,0.53806099213398,,,,,,,,,,,,
16,0.66711423601462,,,,,,,,,,,,
17,0.495983243231992,0.431729087822812,0.242612906975165,0.333767950673585,,,,,,,,,
18,0.615211924778821,,,,,,,,,,,,
19,0.795207025729979,0.588101513989545,,,,,,,,,,,
20,0.730820321497506,,,,,,,,,,,,
