Topic,Probability_1,Probability_2,Probability_3,Probability_4,Probability_5,Probability_6,Probability_7
1,0.305303443936295,0.277143987865671,0.278629036076419,0.460790356226577,,,
2,0.198508774107578,0.356136641129327,0.321705660749088,0.254479374640092,0.499132880545972,0.314938856948587,
3,0.422612648142052,0.396004916303728,0.16305816863079,0.232022730300708,0.260352717739944,,
4,0.253221006720107,0.308426798385237,0.344782290949596,,,,
5,0.109776930315841,0.284341346031506,0.255490013888959,0.200598470581714,,,
6,0.224344633841082,0.206521031944608,,,,,
7,0.22214928929238,0.416699212828881,0.286878951245045,0.150923077249185,0.588086152991603,0.194513020604441,
8,0.396328327369677,0.339742244453509,,,,,
9,0.276565177974087,0.247425508900412,0.332604850485938,,,,
10,0.380132874844342,0.236871272156307,0.439921293852228,,,,
11,0.262032650604997,0.296013845891279,0.339774070331997,0.232307265380357,,,
12,0.417321226732209,0.271336136740732,0.492160795237406,0.363797496815458,0.531320977161959,0.263969340232952,0.513590509188212
13,0.552369523591143,,,,,,
14,0.421758388055789,0.407188927430039,,,,,
15,0.320843326567878,,,,,,
17,0.268003618184069,0.348486993271851,0.390968075246031,0.510191777160264,0.223137504925024,,
18,0.595928047292153,,,,,,
19,0.474634740723952,,,,,,
20,0.456274004051453,,,,,,
21,0.634594524521668,,,,,,
22,0.398060397182741,,,,,,
23,0.340907026186239,0.329731269868498,0.737364033456452,,,,
24,0.623999290069039,,,,,,
25,0.825822746150859,,,,,,
