Topic,Probability_1,Probability_2,Probability_3,Probability_4,Probability_5,Probability_6,Probability_7,Probability_8,Probability_9,Probability_10,Probability_11,Probability_12,Probability_13,Probability_14,Probability_15,Probability_16,Probability_17,Probability_18,Probability_19
1,0.257071090460723,0.247974391921402,0.234811867702667,0.357934346961561,0.224181338651122,0.17365120284574,0.249020294838482,0.247676975411406,0.295180005206367,0.156389747929029,,,,,,,,,
2,0.407431432608606,0.181080109874379,0.395813771896444,,,,,,,,,,,,,,,,
3,0.445079540218861,0.375306179406327,0.231615936300884,0.172101955101687,0.157129771646007,0.149989349574397,,,,,,,,,,,,,
4,0.176649575388201,0.27977633078625,0.338688758074664,0.163170446267384,0.253687958556053,0.245676662736599,0.240756049354969,0.178669432250177,0.183288945630255,0.229872589103827,0.210964499531346,0.193561595172671,0.327313459849118,0.25275836407871,0.212796239944245,0.305614678080567,0.326933478793573,0.293454786276376,0.327002510945477
5,0.129539274864809,0.210644514088429,0.42639497220211,0.30149943092776,,,,,,,,,,,,,,,
6,0.138665324635135,0.424877137926396,0.216403051686066,0.402252979880439,,,,,,,,,,,,,,,
7,0.219481234433715,0.272108289274203,0.165837031107581,0.282949499460154,0.289027393213277,0.423851504602756,,,,,,,,,,,,,
8,0.162092734661334,0.436183010268338,0.202981385227437,,,,,,,,,,,,,,,,
9,0.487838168429793,0.238833642063198,0.177694567381267,0.258776800805913,0.166447251284802,0.356412313134802,,,,,,,,,,,,,
10,0.20728574257857,0.239153640556526,0.273872125910434,0.225268467215016,0.199479550419076,0.18536262181697,0.171499348296824,,,,,,,,,,,,
