Topic,Probability_1,Probability_2,Probability_3,Probability_4,Probability_5,Probability_6,Probability_7,Probability_8,Probability_9,Probability_10,Probability_11
1,0.097658141123133,0.193866078595755,0.10985401803899,0.126521130614298,0.204969002362503,0.139405484521464,0.171429554740438,0.159208945080209,,,
2,0.309079270680228,0.265788094445835,0.156321907543535,0.16026279877528,,,,,,,
3,0.164395272786666,0.328538797363743,0.166632092255845,0.144410344394225,0.213922410047971,,,,,,
4,0.233219882617664,0.114107734073926,0.154590176802607,0.19426580235097,0.215693059791993,0.130565474606754,0.142103134889122,0.178310133641815,0.178445296103982,0.317035551666217,0.121019674307026
5,0.161396062400153,0.218517055723523,0.238294793003773,0.180657601202547,0.187839366252449,0.137003843740516,0.141910420975456,0.326654362455162,,,
6,0.254252622703567,0.150078547247411,0.355788652966535,0.182208817641254,0.230147823486293,0.165656933846889,,,,,
7,0.262912432011603,,,,,,,,,,
8,0.489550115155643,0.140527111233855,0.179971332346156,,,,,,,,
9,0.198392351112626,0.108945658292583,0.221782993729687,0.216428082764389,0.366009350110512,,,,,,
10,0.164440140847329,0.1624336714257,0.196871789816634,0.150190116275195,0.213469824055,0.213820661223818,0.340727315806736,,,,
11,0.356818326294963,,,,,,,,,,
12,0.399636779708977,,,,,,,,,,
13,0.148132887128349,0.127327567778434,0.327146761770185,,,,,,,,
14,0.374327152557498,0.291945085020949,0.162378564472021,,,,,,,,
15,0.425294453059056,0.399248594886391,,,,,,,,,
