Topic,Probability_1,Probability_2,Probability_3,Probability_4,Probability_5,Probability_6,Probability_7,Probability_8
1,0.144743417014129,0.16723809452638,0.145565784997008,0.187955622785601,0.178690021493379,0.0918352803066698,0.10242387571389,0.137440840558682
2,0.142321219448105,0.26802359438954,0.225206620694684,0.145258692300664,0.105925667669902,,,
3,0.148689504750791,,,,,,,
5,0.133035043596463,0.134257338768431,0.150852995877324,0.0977326882395453,,,,
6,0.228299271461772,0.176517119290301,0.0963696236034056,0.113885364642822,,,,
7,0.192922094997026,0.113114162036376,0.129756572509895,0.138294290133959,,,,
8,0.218191305939155,0.215455958340963,,,,,,
9,0.142749896765612,,,,,,,
10,0.134987226208745,0.0987421954471348,0.141386114830193,0.132452846569719,0.149752861651907,0.113401901780351,,
11,0.161632403305667,,,,,,,
12,0.261593703521948,0.149451678040872,0.160210185600011,,,,,
13,0.172954873552899,0.215343627863879,,,,,,
14,0.097525909262889,0.153431342378776,0.121247853504734,0.130004467373976,0.191657174203077,,,
16,0.124363968331246,0.191395657006213,,,,,,
17,0.0966269754557117,0.134220264500708,0.169798701175063,0.156960721104689,0.238522637334432,,,
19,0.239148422642242,0.228431654302219,,,,,,
20,0.098924691214362,0.230948789615817,0.188791230184749,,,,,
21,0.379618132311002,0.215140911496158,,,,,,
22,0.270678411224682,0.338421273501394,,,,,,
23,0.249620742478379,0.254753823653648,,,,,,
24,0.226688352476745,0.259742411427787,,,,,,
25,0.379275631133256,0.31093210551122,,,,,,
