Topic,Probability_1,Probability_2,Probability_3,Probability_4,Probability_5,Probability_6,Probability_7,Probability_8,Probability_9,Probability_10,Probability_11,Probability_12,Probability_13,Probability_14,Probability_15
1,0.221292103249899,0.210829201860696,0.458708847006874,0.191604608059349,,,,,,,,,,,
2,0.35940595315397,0.312235307688199,0.180714145521991,0.196139721734195,0.306330989327398,0.156625743336749,,,,,,,,,
3,0.364649185098423,,,,,,,,,,,,,,
4,0.204388404102235,0.317401485200567,0.183693229899875,0.318356355114754,0.186869565951044,0.295450943346071,0.249950504769798,0.270287335309259,0.148745556719726,0.26989059935142,0.180134425526419,0.19121505014472,0.271962510971123,0.413167614716807,0.207650572012522
5,0.452242464700278,0.365219317361399,,,,,,,,,,,,,
6,0.285748903422569,0.25619216038711,0.353971724414492,0.197642573662094,0.174421527768849,0.269578567969679,0.232393017035407,0.283916725599474,0.303648726946344,0.225986235939783,0.253635803718388,0.378428650281153,,,
7,0.165043254618815,0.200004938466147,0.371500811887527,0.239055443933578,0.367703137059272,,,,,,,,,,
8,0.263998621014744,0.531124703170897,0.252343744236325,0.20061679600508,,,,,,,,,,,
9,0.26852179071881,0.194627105899795,0.245627657148631,0.238485109784235,0.245879056663225,0.267041217732722,0.27070053482909,0.177578630299316,0.230629150731249,0.312569886673169,,,,,
10,0.251767229375358,0.303954490420915,0.403306040267455,0.249273948704626,0.305290521933299,0.254041225540288,0.267061590539607,0.257308336733598,0.186121516032593,,,,,,
