Topic,Probability_1,Probability_2,Probability_3,Probability_4,Probability_5,Probability_6,Probability_7,Probability_8,Probability_9
1,0.184312658719306,0.196443372262996,0.10133658589437,0.203024330098033,0.149278655934873,0.152805179865121,0.155855164591807,0.200824524513299,0.151246526092379
2,0.153162992667453,0.30335113135939,0.151360379287048,0.255252027615084,0.133287011178042,0.120984936083882,,,
3,0.292456402030074,0.142560766487871,0.125693673820487,,,,,,
4,0.089324841784057,0.206619010153842,0.142068329284717,0.33448327627851,,,,,
5,0.164844983758025,0.135382649850568,,,,,,,
6,0.135434974837268,0.171274257241286,0.172143113132544,0.229146195644485,0.297133518758612,,,,
7,0.286748227281961,0.114981141023976,0.26110934051099,,,,,,
8,0.264666709957581,0.347289728620243,0.186522817780549,0.198623724051954,,,,,
9,0.185851775297173,0.166136170039111,0.117245354113507,0.171857713730707,0.162264818466188,,,,
10,0.14794390870118,0.210414256179089,,,,,,,
11,0.107181733076789,0.117438314880734,0.164718845125515,0.16095979557574,,,,,
12,0.430056343792008,,,,,,,,
13,0.134466306564114,0.135426959819135,0.163350864963498,0.127786349028374,0.140864341444692,0.185230733220053,0.244847213395948,0.185866092864897,0.309204941867315
14,0.170209217688943,0.296678388393561,,,,,,,
15,0.356300015634153,,,,,,,,
16,0.149138305608631,0.362474163832254,,,,,,,
17,0.452501259610145,,,,,,,,
18,0.190017892053011,0.325729511648455,,,,,,,
19,0.316605981470927,,,,,,,,
20,0.387201176751022,0.303469289525039,,,,,,,
