Topic,Probability_1,Probability_2,Probability_3,Probability_4,Probability_5,Probability_6,Probability_7,Probability_8
1,0.184986598723096,,,,,,,
2,0.223533447925875,0.137379593204972,0.147963418178045,0.145164148106042,0.213507892949747,0.227365126843097,0.0999012313765013,
3,0.206506529855513,0.0936411319436432,0.127793948456336,0.177829012557772,0.138167618256381,0.146226128495955,,
5,0.0824049634033677,,,,,,,
6,0.185287660988954,0.156782455797962,0.118705238678539,0.118643581088618,0.30343468767766,,,
7,0.186475542143294,0.154863284804413,0.192960316611917,0.231983758017781,0.143531423627001,0.211063168595702,0.106847666522441,
8,0.145711045073014,0.178645969282449,0.0851278859719475,0.216612020217056,,,,
9,0.288047450114649,0.24639772594918,,,,,,
10,0.16574704803691,0.145349585024101,0.296567522890687,,,,,
11,0.144189229377405,0.144415716753121,0.349127724859854,,,,,
13,0.18782542347764,,,,,,,
14,0.157269791336356,0.171581097667313,,,,,,
15,0.17637661580568,0.151354169279252,0.306142837348886,,,,,
16,0.230125470212641,0.438803660366375,0.184755247802999,,,,,
17,0.25065512926747,0.110649131325578,,,,,,
18,0.141200129619553,0.115796244389742,0.176190865384931,0.127054970905912,0.178056766215422,0.218517648467242,0.207343476018583,0.344441947050145
19,0.244411535668455,,,,,,,
20,0.133086115723613,0.426511367885433,,,,,,
21,0.362143081562895,,,,,,,
22,0.345460156458235,,,,,,,
23,0.279223962121258,0.230348732132742,,,,,,
24,0.3911177632434,,,,,,,
25,0.391178131958,0.304089660413813,,,,,,
