Topic,Probability_1,Probability_2,Probability_3,Probability_4,Probability_5,Probability_6,Probability_7
1,0.126116145247655,0.175925788146133,0.0939688152758727,0.174203845872472,0.100964152824403,,
2,0.0673152994142508,0.133235530139202,0.10252921645522,,,,
3,0.139602315033601,,,,,,
4,0.162694362239768,0.153213057265684,0.105470390677176,0.0987782120221601,0.153508821426396,0.0978106760756289,
5,0.195402859118977,,,,,,
6,0.0776779597691348,0.212662691926373,0.112034612755545,0.141685106177346,0.189055518150125,0.164618976067849,0.101316069822327
7,0.114686340375405,0.109229104852203,0.169604151756115,0.138500440335149,,,
9,0.135633527125302,0.140276349751409,,,,,
10,0.115825400287446,,,,,,
11,0.128716729436855,0.150414962109346,,,,,
12,0.105090238276802,0.115318623417075,,,,,
13,0.252698948137215,0.243211236581003,,,,,
15,0.103124978315099,,,,,,
18,0.164427861124281,,,,,,
19,0.210739985951379,,,,,,
20,0.230309312347856,,,,,,
21,0.157023737486272,0.115668553990764,0.164843001907621,0.136587994920646,0.186619226730266,0.305843356815467,
22,0.149024902719783,0.161805565672206,,,,,
23,0.114627429882066,0.127281093589239,0.240692387847453,,,,
24,0.193079171225156,0.0977020221038279,,,,,
25,0.184587869087844,0.111230355385443,0.0898465710419491,0.197498452848454,,,
26,0.227234171983424,,,,,,
27,0.296370986752084,,,,,,
28,0.328965471471333,,,,,,
30,0.278077779540091,0.295199165197977,,,,,
31,0.424474066129373,,,,,,
32,0.318299199689192,,,,,,
34,0.363281569367521,0.28431764071638,,,,,
35,0.130511542214104,0.417769514355413,,,,,
