Topic,Probability_1,Probability_2,Probability_3,Probability_4,Probability_5,Probability_6,Probability_7,Probability_8,Probability_9,Probability_10,Probability_11,Probability_12,Probability_13,Probability_14,Probability_15,Probability_16
1,0.345957144867068,0.559069172557653,0.845077721887878,0.802226463888785,0.782384577047138,0.331281171345711,0.28361773994929,0.53765299969188,0.512922404342944,0.447204906443039,0.603663181693237,0.484185525765854,,,,
2,0.789944288423613,0.905395932996388,0.820521380223321,0.939809357741965,0.796262424826523,0.934838001176266,0.400268709382196,0.376209221229039,0.42109940063399,0.952749279904212,0.774831590291684,0.476910346081267,0.85582017092784,0.460551169524398,0.876553943508865,0.438479114214265
3,0.59014075108497,0.52910779604476,0.603442414927974,0.849170571394263,0.754604848543567,0.602393940922004,0.834393071152368,0.609525001189881,0.491832077734008,0.514651981874993,0.935986597928263,,,,,
4,0.556834716491441,0.82245914345329,0.848196238178154,0.568679869762243,,,,,,,,,,,,
5,0.353933982353022,0.439002194174086,0.901454608016434,,,,,,,,,,,,,
6,0.905564733163161,0.634986525670517,,,,,,,,,,,,,,
7,0.680567504560023,0.747118767902341,,,,,,,,,,,,,,
8,0.381454926035287,0.506443175459668,0.854040057841026,,,,,,,,,,,,,
9,0.468539319677075,0.721232514932473,,,,,,,,,,,,,,
10,0.332963102253209,0.665745106274703,0.853174539959423,,,,,,,,,,,,,
11,0.761240682619702,0.948245514195226,,,,,,,,,,,,,,
12,0.82467319945022,0.405219993212961,0.842979032478427,,,,,,,,,,,,,
13,0.804251563211698,0.595197013475859,,,,,,,,,,,,,,
14,0.973903748376126,0.402094182764201,,,,,,,,,,,,,,
15,0.987660500050376,,,,,,,,,,,,,,,
