Topic,Probability_1,Probability_2,Probability_3,Probability_4,Probability_5,Probability_6,Probability_7,Probability_8,Probability_9,Probability_10,Probability_11
1,0.10766594211942,0.235489050288552,0.161715970104928,0.243983524429588,0.316486997253591,0.167255614370179,0.107033298410174,0.219401669553297,0.136868733734006,0.112600757274541,0.130459040205999
2,0.155527972826227,0.173814748515968,0.258561272776083,0.210360349279584,0.176758032249307,0.241508198837663,,,,,
3,0.254366581957202,0.304939115983524,0.208561777615734,0.244416862634838,,,,,,,
4,0.31747480705871,0.111884383269144,0.120429782227228,,,,,,,,
5,0.197181938480513,0.152683879828506,0.147225331531076,0.194211568840444,0.133792158451267,0.241825791673107,0.17074929009866,0.183251368569017,,,
6,0.298006293784348,0.136831389872578,0.157877686585426,0.163111640406514,,,,,,,
7,0.233501717643967,0.151407052785691,0.315463831225635,,,,,,,,
8,0.137603189978496,0.338374851733992,,,,,,,,,
9,0.272635324659248,,,,,,,,,,
10,0.213380357142666,0.245098182015564,0.132715077773357,,,,,,,,
11,0.298067158502786,,,,,,,,,,
12,0.253515523581944,0.174928787857138,0.255358424967892,0.128022547786738,0.217504040515796,0.170011869302591,0.279867609462297,,,,
13,0.147400322202898,0.324552404334777,,,,,,,,,
14,0.494814227920867,0.224869726689089,0.197121285151847,,,,,,,,
15,0.393070959036062,,,,,,,,,,
16,0.448786239376291,,,,,,,,,,
17,0.416909767079258,,,,,,,,,,
18,0.227492727936003,0.415603639832181,,,,,,,,,
19,0.399405800042439,0.393374474589869,0.120505170231371,,,,,,,,
20,0.410014857030385,0.366870165017669,,,,,,,,,
