Topic,Probability_1,Probability_2,Probability_3,Probability_4,Probability_5,Probability_6
1,0.112297135005658,0.148669801978131,,,,
2,0.134764445600329,,,,,
3,0.296248755958008,0.341128573951567,0.117124335241974,0.216690661933146,0.183360253070412,
4,0.0929763522798567,,,,,
6,0.170652216806027,0.0760173809400967,0.169510954402107,0.11680385198978,,
7,0.242968248071204,,,,,
8,0.118213515978007,0.284425775833484,0.291141759034512,0.1261699826567,0.13275817595664,
9,0.172417183693731,0.230028517836548,0.117980018286374,0.117155863532009,0.175548783865872,0.112877881516255
10,0.311039386110275,0.179068830833659,0.197678270963877,,,
11,0.13498327524763,0.119646548887249,0.214843695880503,,,
12,0.11796847059291,0.2689894183316,0.204329998604321,0.193114440824263,0.163126587292984,0.180881402777955
14,0.100410799904446,,,,,
15,0.116846206035744,0.246616438643579,0.115871650682888,0.131953036612312,0.239336049625674,
16,0.288069861195511,,,,,
17,0.138213232037725,0.222678127317731,0.207018376993741,,,
18,0.293280216901004,,,,,
19,0.277696558858395,0.117606200219935,0.254980616861808,,,
20,0.118703685983414,0.310021850944781,,,,
21,0.218792593115424,,,,,
22,0.223492890619202,0.142187555102303,,,,
23,0.334837547338304,,,,,
24,0.135840897767525,0.452658231129796,,,,
25,0.382638950913798,,,,,
26,0.281801955751087,,,,,
27,0.321641238487679,0.237796828366762,,,,
28,0.303895445099071,,,,,
29,0.362628494228915,0.238897452271547,,,,
30,0.477483150408953,0.161325271797915,,,,
