Topic,Probability_1,Probability_2,Probability_3,Probability_4,Probability_5,Probability_6,Probability_7,Probability_8
1,0.087407439876931,0.132224349013143,,,,,,
2,0.1107203552452,,,,,,,
3,0.160050249711928,0.108548127863593,0.120196256468041,0.100219949080352,0.118384243851255,0.112244671301729,0.154611948410168,0.136473273204289
4,0.118783739988283,0.118424835862322,,,,,,
5,0.122390938125108,0.10749036105703,,,,,,
7,0.18191979175911,0.252849165386628,0.149284582565923,0.129746397856572,0.166669928214288,,,
8,0.117297791721727,0.0865733807934128,,,,,,
13,0.0776160464022129,,,,,,,
14,0.201438515854973,,,,,,,
15,0.129933978960536,,,,,,,
16,0.189061797694402,,,,,,,
17,0.170004128222785,0.0864506557812721,0.20392888129917,0.196993607626253,,,,
18,0.182847918313774,0.101320033493416,0.121221585696082,0.207398107854537,0.12583861031411,,,
19,0.231266121492108,,,,,,,
21,0.233414031899985,,,,,,,
22,0.148739783792736,0.138583115967732,0.242891838125741,0.104237278598506,0.134740734503184,0.179654364638002,,
23,0.169921307814027,0.283092136255983,,,,,,
24,0.276700320896937,0.168890785726646,0.0795844382119419,0.103963807055994,0.192571212581426,,,
25,0.329618633157272,0.148895027569713,,,,,,
26,0.461609088563551,,,,,,,
27,0.150840380407328,0.274464709265308,,,,,,
28,0.294744718719193,,,,,,,
29,0.340981651409944,,,,,,,
30,0.372863631438998,0.338093899219196,0.0900931801180255,,,,,
31,0.110158811723958,0.214755959903495,,,,,,
32,0.358009396967978,0.327493201056809,,,,,,
33,0.410694311995114,,,,,,,
34,0.168822409349714,0.269639498172112,,,,,,
35,0.272171329596552,,,,,,,
