Topic,Probability_1,Probability_2,Probability_3,Probability_4,Probability_5,Probability_6,Probability_7,Probability_8,Probability_9,Probability_10,Probability_11,Probability_12,Probability_13,Probability_14
1,0.329763767693896,0.279713858072805,0.167792510991351,,,,,,,,,,,
2,0.280826205991756,0.309044552307636,0.255398887028022,0.286053270591471,,,,,,,,,,
3,0.0936988391001626,0.205985321539044,0.24687005685417,0.176508031773886,0.178937662957346,,,,,,,,,
5,0.360122916645529,,,,,,,,,,,,,
6,0.149578894318542,0.434981617398602,0.455508400736917,0.199790548231802,,,,,,,,,,
7,0.161207040060627,0.276506222081638,0.182765685937465,0.225054254699248,0.176430738075678,0.398080073713062,0.445425401501325,0.37352410318791,0.471091984330805,0.360704837148146,0.321366019394998,0.33989070533876,0.324192725071433,0.449417025121272
8,0.528099669695304,,,,,,,,,,,,,
9,0.227173427540594,0.156869983715968,0.226802796467023,0.109317339587427,0.327087287330105,0.312183652700767,0.470647190177219,0.163042578569685,,,,,,
11,0.232934289664797,0.421224719524548,,,,,,,,,,,,
12,0.416917924558128,,,,,,,,,,,,,
13,0.527442434086022,,,,,,,,,,,,,
15,0.440630888815083,0.299871539464605,,,,,,,,,,,,
16,0.33847502088871,,,,,,,,,,,,,
17,0.307903656510675,0.449758985120706,,,,,,,,,,,,
18,0.327301526934177,0.302197476794381,0.451325539250743,,,,,,,,,,,
19,0.434879350340486,0.458822907027487,0.19940757956926,,,,,,,,,,,
20,0.402973239158008,0.289230776650793,,,,,,,,,,,,
21,0.601095879551563,,,,,,,,,,,,,
22,0.285011504723006,0.475209751074982,0.476975644219753,,,,,,,,,,,
23,0.647307323206862,,,,,,,,,,,,,
25,0.388826054448123,,,,,,,,,,,,,
27,0.621178977149896,,,,,,,,,,,,,
28,0.2083329977544,0.514156071887899,,,,,,,,,,,,
29,0.725333702302878,,,,,,,,,,,,,
30,0.739684008997549,,,,,,,,,,,,,
