Topic,Probability_1,Probability_2,Probability_3,Probability_4,Probability_5,Probability_6
1,0.324151417556822,0.430857031600786,0.201225032953908,0.357705598638607,,
3,0.216965714064582,0.283208833915555,0.213186585324519,,,
5,0.26724808025407,0.366462379532856,0.145464415427853,,,
6,0.210796459813577,0.217481316513158,,,,
7,0.275748632779814,,,,,
8,0.135869634347704,,,,,
9,0.346268801827553,,,,,
10,0.246301283599121,0.395211170619051,0.263482408140724,,,
11,0.196643532712962,0.18199014876677,0.203029418601813,,,
13,0.455683036861412,,,,,
14,0.148793343851183,0.198990216771588,0.28073895767453,0.437317629660675,0.322170560635685,0.486140492535295
15,0.291055487519866,0.300496555614126,0.151655805768616,0.214604486453723,0.30715186850683,
16,0.378637211979678,0.359111064726628,,,,
17,0.278373833032388,,,,,
18,0.250073090068678,0.247048562956821,0.52120254843793,,,
19,0.411359584530078,0.13594153566211,,,,
20,0.228503203992737,0.226451159930963,0.246601578527281,0.242027787134757,0.180616093208058,0.571032684027842
21,0.132261994735888,0.495478602168038,,,,
22,0.38783181731911,0.361540508064751,,,,
24,0.323277868260283,0.50855724726768,0.163503749360413,,,
26,0.236880055651484,0.44091184408093,,,,
27,0.58243884178551,0.322443498379183,,,,
28,0.355102508246714,,,,,
29,0.570803396068162,,,,,
30,0.528685382195961,,,,,
31,0.477389267893415,,,,,
32,0.492292637537684,0.526366753414467,,,,
33,0.717272524170691,,,,,
34,0.605160264094243,,,,,
35,0.209644519151849,0.70250905133342,,,,
