Topic,Probability_1,Probability_2,Probability_3,Probability_4,Probability_5,Probability_6,Probability_7
1,0.248616335066282,0.242106033876948,0.17197278231316,0.238818679008716,0.16701005508512,,
2,0.112378048380715,0.297419366412022,0.21027262130354,,,,
3,0.286392513476811,0.384332996449092,0.352716609015027,0.0984885981448674,0.243603846532314,,
4,0.400280320783471,0.13879229445158,0.239787458157976,,,,
6,0.281038418332594,0.197463569307687,0.21081142431723,0.1976204029127,0.280177753991659,0.424831093426741,0.167629048531545
7,0.159569258655798,,,,,,
8,0.237871986613188,0.340829387136729,,,,,
11,0.232482754764998,0.151669554325122,0.350583466967175,,,,
12,0.14754377717179,,,,,,
14,0.201836369589641,0.227293472224264,,,,,
15,0.270830126226163,,,,,,
16,0.123676466544382,,,,,,
17,0.385958336878141,0.481687888850447,,,,,
18,0.283841576870867,0.187663646204728,0.1867328268429,0.331122366685569,0.479636125382315,,
19,0.22945468383326,,,,,,
20,0.313020871481434,,,,,,
21,0.342401867839024,,,,,,
22,0.261489160141384,,,,,,
24,0.196060397406464,0.388217299501188,0.192767689284909,,,,
26,0.319439161262553,0.28730424397012,,,,,
27,0.235882378179876,0.325280488868794,,,,,
28,0.25869674520814,0.233303834949612,0.518373438515374,,,,
30,0.209889858860317,,,,,,
31,0.342459275119524,0.2640302719441,,,,,
32,0.367669958083354,,,,,,
33,0.367930063611891,0.253656467881255,,,,,
34,0.475732706626569,,,,,,
35,0.765112969706575,,,,,,
36,0.326260951586528,,,,,,
37,0.444883920439328,,,,,,
38,0.674862882727737,,,,,,
39,0.493040035267803,,,,,,
40,0.536323072092229,,,,,,
