Topic,Probability_1,Probability_2,Probability_3,Probability_4,Probability_5,Probability_6,Probability_7,Probability_8,Probability_9,Probability_10,Probability_11
1,0.105527099245358,0.213501667448077,0.114042080870501,0.158596776074774,0.21755691919532,0.17931686874986,0.215731983905518,0.166352552503141,0.208050463755851,0.226758055986465,0.18100091858523
2,0.227844290431039,0.2600889671268,0.184138316272484,0.2736472620418,0.165653020677081,0.162797252854701,0.33896093030982,0.163954200842628,,,
3,0.210716465805936,0.156077277981687,0.187450746144685,0.127084150564275,0.222279671705645,0.36484689894117,,,,,
4,0.192137705105787,0.232924072160975,0.226224681881546,0.300972765415832,0.141049178117961,,,,,,
5,0.270546784521643,0.176355183031806,0.219556574760147,,,,,,,,
6,0.217846268855789,0.326808740791257,0.150233758573832,,,,,,,,
7,0.22728569281266,0.25228919797654,0.129174351651087,0.346626829761086,,,,,,,
9,0.426253497416344,0.154290196799505,,,,,,,,,
10,0.15275876112402,0.512609713954447,0.150056830787514,0.171812062252167,0.186606265132623,,,,,,
11,0.197255866938255,0.213089200146983,0.170683244039277,0.208813622231064,0.205337346749914,0.275080430342418,0.22774731345334,0.275044972046498,0.185821286959861,0.280430459932665,0.38631577853159
12,0.454234943755193,,,,,,,,,,
13,0.183033528756856,0.265337391622761,0.165853710000573,0.191738906920235,,,,,,,
14,0.416471798437801,,,,,,,,,,
15,0.217146592709113,0.391217562976417,0.189356110355689,0.344983914445784,,,,,,,
