Topic,Probability_1,Probability_2,Probability_3,Probability_4,Probability_5,Probability_6,Probability_7,Probability_8,Probability_9,Probability_10
1,0.0874279526251736,0.0892700914784199,,,,,,,,
2,0.0840719863703669,,,,,,,,,
3,0.188941833499256,,,,,,,,,
5,0.109279008677506,0.153962710509258,0.187836568927029,0.110175637745124,,,,,,
6,0.1513266601929,0.181653668818164,0.21517490394559,,,,,,,
7,0.165967084086456,0.155910748503998,0.113894355108622,0.138338189695919,0.0949255240207469,,,,,
8,0.152409732606522,0.258604309215373,,,,,,,,
9,0.173590730245576,0.297972472817448,0.0973442904427187,,,,,,,
10,0.133432700125713,,,,,,,,,
11,0.115804277434453,0.246580140890435,0.207809221476879,0.150402823304253,0.111660310468063,0.118987153146395,,,,
13,0.123145450408244,0.120527617081591,0.299679680420324,,,,,,,
14,0.139469473626665,,,,,,,,,
15,0.23325914106795,0.164474774490218,,,,,,,,
16,0.182420864686363,,,,,,,,,
17,0.139740585429058,0.16334732381841,0.308007626908221,0.100797812934851,,,,,,
18,0.266504982941437,,,,,,,,,
19,0.188865941245474,,,,,,,,,
20,0.123680906366237,0.143980201483903,0.0861977846089221,0.120785822212598,0.20681266245189,0.139942150488549,0.167731912914597,0.141791366630269,0.184592648524028,0.330281123761464
21,0.176301906984998,0.12458927964037,0.122761112116249,0.11839481656238,0.271940636021666,,,,,
22,0.145781320547776,0.227557461704403,,,,,,,,
23,0.359228216837027,0.136520782841024,,,,,,,,
24,0.249776963003528,,,,,,,,,
25,0.115827455074741,,,,,,,,,
26,0.312531683672263,,,,,,,,,
27,0.399493792328593,,,,,,,,,
28,0.35856828323966,,,,,,,,,
29,0.350254699335408,,,,,,,,,
30,0.267924024776819,0.218514750509876,,,,,,,,
