Topic,Probability_1,Probability_2,Probability_3,Probability_4,Probability_5,Probability_6
1,0.16563994166522,0.124053753886133,0.176883389103969,0.150304718813508,0.103166569972607,
2,0.0754145547690126,,,,,
3,0.122179625136544,,,,,
4,0.110927471152663,0.098611717088322,,,,
5,0.158211482055388,0.0986082544717044,0.124724732209542,,,
7,0.106353809640963,,,,,
8,0.198455068664156,0.248081667184236,0.18845232396025,0.143740100003983,,
11,0.152992061299745,0.0931727218267655,0.123106423676291,0.203318043050712,,
13,0.237931866892618,0.137078873688999,0.0792531222737663,,,
14,0.122214281681074,0.11073222631181,0.131698763329217,0.10915019904855,,
15,0.181474532966708,0.098023522929468,,,,
17,0.0601586460619012,0.174803875013144,,,,
19,0.158259824766094,0.131435484193233,0.0991137207197272,,,
21,0.103821182830924,,,,,
22,0.0880929201217114,,,,,
23,0.250488245480757,0.285555956009784,0.152682877968422,,,
25,0.171039563933836,,,,,
26,0.160506118147889,0.0879945695800794,0.145139821985612,0.102188345276948,0.149814480203155,0.262801571219737
27,0.0979974271534917,0.262909289944324,,,,
28,0.228137482411892,,,,,
29,0.187630306011605,0.107312627817939,0.175998227296998,,,
30,0.0823339079423071,0.315530603960778,,,,
31,0.134766731389225,,,,,
32,0.277421170277771,,,,,
34,0.267315566235054,0.251223338839267,0.1339522426642,0.109870006132154,,
35,0.276613495965291,,,,,
36,0.304561875928114,,,,,
37,0.478575988388864,,,,,
38,0.30801224477683,,,,,
39,0.335004934420914,0.227993904374283,,,,
40,0.385621094732242,,,,,
