Topic,Probability_1,Probability_2,Probability_3,Probability_4,Probability_5,Probability_6,Probability_7,Probability_8,Probability_9
1,0.0797403499575206,0.11795689845799,,,,,,,
2,0.130389487405086,0.0832426960890971,0.17009805047172,0.134999686404882,0.123281596392787,0.158311534875856,0.163645001509302,0.10548894173748,0.109081401962063
4,0.11380618914684,0.137882301805809,0.117877142247532,0.12896378493285,0.138127626938423,,,,
5,0.156343465931471,0.272182801736254,0.366622478673215,0.18085417717044,,,,,
6,0.232139311383691,,,,,,,,
7,0.22116730134516,0.122844172289753,0.104038288742462,,,,,,
8,0.154584840057738,0.14274044193586,,,,,,,
9,0.242483743805301,,,,,,,,
10,0.199205928179047,,,,,,,,
11,0.0992817412871293,,,,,,,,
12,0.176024603051761,,,,,,,,
13,0.131939800346203,0.113379430466277,,,,,,,
14,0.183315874932373,0.210021450237213,0.146131381221511,,,,,,
15,0.132043065742261,0.281374195734176,,,,,,,
16,0.077610079297609,0.13342239834754,0.227814741495702,,,,,,
17,0.0939688278193437,0.110302587079201,,,,,,,
18,0.0963378161611464,0.133147998875507,0.149594743950469,0.116856751349337,0.156343920843231,0.128223890624043,0.165144323942954,0.302708118315074,
19,0.242022366746167,,,,,,,,
20,0.110679416731792,,,,,,,,
21,0.274368124142522,,,,,,,,
22,0.104565447214356,0.272540346933371,,,,,,,
23,0.244694156572555,,,,,,,,
24,0.316244329840643,0.29885723164535,0.0872144318939415,,,,,,
25,0.181104617050853,,,,,,,,
26,0.45255162416123,0.142507831270068,,,,,,,
27,0.320518901030365,,,,,,,,
28,0.40205310040833,0.136248594741239,,,,,,,
29,0.412891455419081,,,,,,,,
30,0.362093840594152,0.245440739145429,,,,,,,
