Topic,Probability_1,Probability_2,Probability_3,Probability_4,Probability_5,Probability_6,Probability_7,Probability_8
1,0.191030190325484,0.0987310160877818,0.0840587452141293,0.164636035982285,0.101804739328431,0.131109230319352,0.122759998310465,0.116562872386166
3,0.105381475610823,0.177132707458484,,,,,,
4,0.135539157184835,0.124471462745633,,,,,,
5,0.136569360577371,0.0946193194743141,0.178195967485923,,,,,
8,0.094976863135324,,,,,,,
9,0.129298517289714,,,,,,,
10,0.184631311809745,0.179875333449402,0.112649105058741,,,,,
12,0.0810218983802067,,,,,,,
13,0.13666941756906,0.120796289894788,0.142314491360755,0.120986141316425,0.144852148012808,,,
14,0.131371299100202,0.106151477210688,0.230976900397548,,,,,
15,0.121634198434379,,,,,,,
17,0.101547375530496,0.265011316047351,0.131363372392703,,,,,
18,0.124002016163882,,,,,,,
19,0.0977667473768921,0.0841975642358222,0.165794347856148,,,,,
20,0.128127549267588,0.220078384200017,0.129572165617033,,,,,
21,0.0873039439070343,0.18819373427594,0.105967369293791,,,,,
22,0.106436764577082,0.149152105947097,,,,,,
23,0.0802945972261996,0.12108506228618,0.111482941251918,0.119748079086138,0.144661776918656,0.258409474011871,,
24,0.101094280053425,0.120225708417382,,,,,,
25,0.181105455890158,,,,,,,
27,0.32733780962066,,,,,,,
28,0.197658612793205,,,,,,,
29,0.30652822968713,,,,,,,
30,0.29414140408277,,,,,,,
31,0.290754496685034,,,,,,,
32,0.164139870410811,0.2444498409208,,,,,,
33,0.277803507889249,0.233151718223819,0.0887945117497125,,,,,
34,0.309832445593947,0.13339843642363,,,,,,
35,0.329870025041848,0.235612679757368,,,,,,
