Topic,Probability_1,Probability_2,Probability_3,Probability_4,Probability_5,Probability_6,Probability_7,Probability_8,Probability_9,Probability_10,Probability_11,Probability_12,Probability_13,Probability_14,Probability_15,Probability_16,Probability_17,Probability_18,Probability_19,Probability_20,Probability_21,Probability_22,Probability_23,Probability_24,Probability_25,Probability_26,Probability_27,Probability_28,Probability_29,Probability_30
1,0.654169210444929,0.913916761673938,0.521481467464116,0.566115844770202,0.538880675655903,0.793676799675584,0.720147057579615,0.932338630060672,0.876768373756978,0.810002285017855,0.559179895363185,0.866750126627213,0.497703629174145,0.909444987581803,0.693686166303279,0.613216760969567,0.468320492363256,0.586777493804176,0.376816497271003,0.521003240338737,0.714380083945867,0.897676744035473,0.528220722054946,0.518555338600701,0.491976905027138,0.809547318816712,0.871713229183878,0.628281816218817,0.713722237842699,0.70712756862134
2,0.52742044468553,0.506568216814589,0.436174876930868,0.670678460938156,0.840251887690394,0.606380379310626,0.396018324748014,0.484705538639513,0.660382190960567,,,,,,,,,,,,,,,,,,,,,
3,0.385693893115282,0.664271786849536,0.602318294946454,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.416613904989122,0.432241560479601,0.795029770550579,0.467888749994309,0.790487064423692,0.528255144301434,0.832715270537147,0.730189804860224,,,,,,,,,,,,,,,,,,,,,,
5,0.387680381972368,0.759815270446108,0.781371972178526,0.552912618417046,0.616370332879847,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.910890281692476,0.729015230967317,0.640142416912603,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.498778583926675,0.854962567109188,0.908796159367497,0.91767709035759,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.992807765131928,0.475313037449985,0.839427484583424,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.975960305137101,0.947347330554133,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.855806577147301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
