Topic,Probability_1,Probability_2,Probability_3,Probability_4,Probability_5,Probability_6,Probability_7,Probability_8,Probability_9,Probability_10,Probability_11,Probability_12,Probability_13,Probability_14,Probability_15,Probability_16,Probability_17
1,0.589321247968879,0.371560656875279,0.882850632141402,0.206655677193429,0.908368510172107,0.441628652828983,0.828038076605293,0.462629677584889,0.209233414017093,0.481189040002162,0.47638706491228,0.831130036274003,0.433088240809397,0.823698334754,0.353612924659451,0.861865180597214,0.50985050105685
2,0.786534670719168,0.523437974528959,0.591041858986509,0.434111973861502,0.37171699045792,0.513287321998994,0.371408442960474,,,,,,,,,,
3,0.325390032288994,0.386148872724528,,,,,,,,,,,,,,,
4,0.465627226223552,0.498633985940826,,,,,,,,,,,,,,,
5,0.330790760042458,0.370378397101295,0.438109980238061,0.500367424382005,0.757429039353917,0.380370023615796,0.309141625088464,0.402748597750025,0.440835521348607,0.443533902680371,0.46310239648803,,,,,,
6,0.535167038918476,0.460797005923682,0.422535760378787,,,,,,,,,,,,,,
7,0.416482246455788,0.370628334532909,0.615723088790088,0.474124528508607,,,,,,,,,,,,,
8,0.360286010437982,,,,,,,,,,,,,,,,
9,0.547164030564126,0.526247086189104,,,,,,,,,,,,,,,
10,0.902326847288728,0.608028370694223,,,,,,,,,,,,,,,
11,0.41022634373644,0.783281854530873,0.911081371981243,,,,,,,,,,,,,,
12,0.502150716446599,0.833673259125207,,,,,,,,,,,,,,,
13,0.806921082313973,,,,,,,,,,,,,,,,
14,0.683952620815658,0.578594324890049,,,,,,,,,,,,,,,
15,0.717214441774303,,,,,,,,,,,,,,,,
16,0.987100935458209,0.660172033847127,,,,,,,,,,,,,,,
17,0.907380871330159,,,,,,,,,,,,,,,,
18,0.925870044009433,0.835650635107898,,,,,,,,,,,,,,,
19,0.771232144431279,0.797580369145885,,,,,,,,,,,,,,,
20,0.927885960547743,,,,,,,,,,,,,,,,
