Topic,Probability_1,Probability_2,Probability_3,Probability_4,Probability_5,Probability_6,Probability_7,Probability_8,Probability_9,Probability_10,Probability_11,Probability_12,Probability_13,Probability_14,Probability_15,Probability_16,Probability_17,Probability_18,Probability_19
1,0.480160198694771,0.436739293530265,,,,,,,,,,,,,,,,,
2,0.212145251715964,0.414430164149742,0.381365342746622,,,,,,,,,,,,,,,,
3,0.149333428760805,0.173305521403702,0.253332494072457,0.302466310611488,0.214845921042845,,,,,,,,,,,,,,
4,0.236557847856398,0.287159774305112,0.355594177491237,0.216878300218464,0.279314224680584,0.238066635299175,0.313270442504875,0.309121205127115,0.416954873878505,0.275634390571136,0.253828628363319,0.248020998874619,0.168631513252122,0.166857282459229,,,,,
5,0.333920590000857,0.348775382892659,0.186894985937434,0.239684034272531,0.204111974118388,0.260207033172211,0.244203201320291,,,,,,,,,,,,
6,0.530125949302644,0.470845154534478,0.234187352924354,0.347088509007814,,,,,,,,,,,,,,,
7,0.228572396515804,0.375124827612492,0.254298526291225,0.228555139443497,,,,,,,,,,,,,,,
8,0.198923079085361,0.356196400256286,0.327990790599919,0.291265457539311,0.542962529956783,0.17981067655627,0.256992079312692,0.15545025543414,0.247712121458186,0.231731584202073,0.18165436160531,0.306529121899676,0.210799785452321,0.177510502604027,0.308771973491583,0.229190022525427,0.228154423385574,0.268522855485781,0.320186148855162
9,0.42432643709488,0.241700922690397,0.390924566134071,,,,,,,,,,,,,,,,
10,0.372969416871069,0.212166459733968,0.230625294887731,0.374340902750021,0.463973799463821,0.255822078522042,0.337108369084199,,,,,,,,,,,,
