Topic,Probability_1,Probability_2,Probability_3,Probability_4,Probability_5,Probability_6,Probability_7,Probability_8,Probability_9,Probability_10,Probability_11,Probability_12,Probability_13,Probability_14,Probability_15,Probability_16,Probability_17,Probability_18
1,0.130926868616478,0.224035695409896,0.157538973528827,0.238513337766275,0.313252035671486,0.23851526465732,0.184448477546666,,,,,,,,,,,
2,0.376663137047263,0.151501582185777,0.133210476722715,0.177263351085944,0.206314151796046,0.156776683666819,0.170016138543724,0.160419349424029,0.156273093490841,,,,,,,,,
3,0.159794177347156,0.199529249258813,0.150651900592345,0.240750652758912,0.135962313076399,0.213221437344976,0.419297999080998,,,,,,,,,,,
4,0.179865179206924,0.236143440482691,0.222879417977749,0.135120756622322,0.166292226470764,0.187586594248972,0.161720148918364,0.11547825591651,0.160355496774391,0.179882415019807,0.149432930854568,0.241568976125712,0.187052312370923,0.271378263367804,0.221260223895926,0.143998980832643,0.197701833653792,0.423066986646752
5,0.208505958994027,0.230234602291259,0.247427272325978,,,,,,,,,,,,,,,
6,0.229573177416601,0.33151719353837,0.196333091346211,,,,,,,,,,,,,,,
7,0.203463355425692,0.539705110652525,0.217676365820162,0.214659439685744,0.16579889159657,,,,,,,,,,,,,
8,0.356952729999569,,,,,,,,,,,,,,,,,
9,0.245159959109142,0.137965983628512,0.440528653581827,0.164245110498461,,,,,,,,,,,,,,
10,0.135380214494196,0.382453616770975,,,,,,,,,,,,,,,,
11,0.325021756408182,0.427196020473516,,,,,,,,,,,,,,,,
12,0.50178694291239,,,,,,,,,,,,,,,,,
13,0.266116212969592,0.401998592869064,,,,,,,,,,,,,,,,
14,0.460574289812659,0.414002005797549,,,,,,,,,,,,,,,,
15,0.44058800515351,0.404721448081495,,,,,,,,,,,,,,,,
