Topic,Probability_1,Probability_2,Probability_3,Probability_4,Probability_5,Probability_6,Probability_7,Probability_8,Probability_9,Probability_10
2,0.105860097033575,0.1295319059794,,,,,,,,
4,0.108289113888384,0.137751731470159,0.113796330595783,,,,,,,
5,0.191227848079527,0.176479913564557,,,,,,,,
6,0.135357200758506,,,,,,,,,
7,0.11783111775094,,,,,,,,,
8,0.102848951919771,,,,,,,,,
10,0.193890175269332,0.14309771780044,,,,,,,,
11,0.135868180682734,0.194396062862211,0.13904904683316,0.132228920417984,0.213730360490034,0.204375944958988,0.115557295407787,0.175177908613893,0.138097725028126,0.212460191714252
12,0.127092105267859,0.13872975279293,0.123404233346595,0.150245367494844,0.186996551886721,0.0978691746065767,,,,
13,0.10203104835992,,,,,,,,,
14,0.296454596435301,0.10884067511865,0.129186645281453,0.191725669289921,,,,,,
17,0.204619030389173,0.114749887782272,,,,,,,,
18,0.0794010620165499,0.223772095897745,,,,,,,,
19,0.149509326788134,0.0720531325279014,,,,,,,,
20,0.143849349550033,0.220427690462754,,,,,,,,
22,0.321713043271315,,,,,,,,,
23,0.284566582106087,,,,,,,,,
24,0.144473552167728,,,,,,,,,
25,0.254920140365308,,,,,,,,,
26,0.233246888640155,0.117708421987172,0.0948337222368403,,,,,,,
27,0.256199336245886,,,,,,,,,
28,0.137343415565404,,,,,,,,,
29,0.269558962651886,,,,,,,,,
30,0.260159879020514,,,,,,,,,
31,0.182014891619099,,,,,,,,,
32,0.184184442598295,,,,,,,,,
33,0.344473317224999,0.268212241070713,,,,,,,,
34,0.251278879885705,0.224581939950198,0.184699599118643,,,,,,,
35,0.318798100467836,0.334361074790279,,,,,,,,
36,0.26586085512789,,,,,,,,,
37,0.126301241628202,0.13310762203153,,,,,,,,
38,0.258557954729183,,,,,,,,,
39,0.207668807885128,0.213145311621159,,,,,,,,
40,0.415848328177062,,,,,,,,,
